tag,collaboration,category,channel,arxiv,doi,inspire_id,hepdata_id,direct_pdf,arxiv_pdf_status,arxiv_pdf_path,arxiv_source_status,arxiv_source_path,direct_pdf_status,direct_pdf_path
BaBar_2007_KKpipi_KKpi0pi0_KKKK_PRD76_012008,BaBar,exclusive hadronic channel,"e+e- -> K+K-pi+pi-, K+K-pi0pi0, K+K-K+K- using ISR",0704.0630,10.1103/PhysRevD.76.012008,747875,ins747875,,exists,raw_papers/arxiv_pdf/BaBar_2007_KKpipi_KKpi0pi0_KKKK_PRD76_012008_0704.0630.pdf,exists,raw_papers/arxiv_source/BaBar_2007_KKpipi_KKpi0pi0_KKKK_PRD76_012008_0704.0630.tar,no_direct_pdf,
BaBar_2007_5body_ISR_PRD76_092005,BaBar,exclusive hadronic channel,"e+e- -> 2(pi+pi-)pi0, 2(pi+pi-)eta, K+K-pi+pi-pi0/eta using ISR",0708.2461,10.1103/PhysRevD.76.092005,758568,ins758568,,exists,raw_papers/arxiv_pdf/BaBar_2007_5body_ISR_PRD76_092005_0708.2461.pdf,exists,raw_papers/arxiv_source/BaBar_2007_5body_ISR_PRD76_092005_0708.2461.tar,no_direct_pdf,
BaBar_2008_KKeta_KKpi0_KSKpi_PRD77_092002,BaBar,exclusive hadronic channel,"e+e- -> K+K-eta, K+K-pi0, KS K pi using ISR",0710.4451,10.1103/PhysRevD.77.092002,765258,ins765258,,exists,raw_papers/arxiv_pdf/BaBar_2008_KKeta_KKpi0_KSKpi_PRD77_092002_0710.4451.pdf,exists,raw_papers/arxiv_source/BaBar_2008_KKeta_KKpi0_KSKpi_PRD77_092002_0710.4451.tar,no_direct_pdf,
BaBar_2009_pipi_gamma_PRL103_231801,BaBar,exclusive hadronic channel,e+e- -> pi+ pi- (gamma) using ISR,0908.3589,10.1103/PhysRevLett.103.231801,829441,,,exists,raw_papers/arxiv_pdf/BaBar_2009_pipi_gamma_PRL103_231801_0908.3589.pdf,exists,raw_papers/arxiv_source/BaBar_2009_pipi_gamma_PRL103_231801_0908.3589.tar,no_direct_pdf,
BaBar_2012_pipi_gamma_PRD86_032013_HEPData_v2,BaBar,exclusive hadronic channel,e+e- -> pi+ pi- (gamma) using ISR; full machine-readable release,1205.2228,10.1103/PhysRevD.86.032013,1114155,ins1114155,,exists,raw_papers/arxiv_pdf/BaBar_2012_pipi_gamma_PRD86_032013_HEPData_v2_1205.2228.pdf,exists,raw_papers/arxiv_source/BaBar_2012_pipi_gamma_PRD86_032013_HEPData_v2_1205.2228.tar,no_direct_pdf,
BaBar_2012_KKpipi_update_PRD86_012008,BaBar,exclusive hadronic channel,"e+e- -> K+K-pi+pi-, K+K-pi0pi0, K+K-K+K- update using ISR",1103.3001,10.1103/PhysRevD.86.012008,892684,ins892684,,exists,raw_papers/arxiv_pdf/BaBar_2012_KKpipi_update_PRD86_012008_1103.3001.pdf,exists,raw_papers/arxiv_source/BaBar_2012_KKpipi_update_PRD86_012008_1103.3001.tar,no_direct_pdf,
CMD2_2004_reanalysis_PLB578_285,CMD-2,exclusive hadronic channel,"reanalysis of e+e- -> pi+pi-, omega -> 3pi, phi -> KLKS",hep-ex/0308008,10.1016/j.physletb.2003.10.108,624947,,,exists,raw_papers/arxiv_pdf/CMD2_2004_reanalysis_PLB578_285_hep-ex_0308008.pdf,exists,raw_papers/arxiv_source/CMD2_2004_reanalysis_PLB578_285_hep-ex_0308008.tar,no_direct_pdf,
CMD2_2006_low_energy_pipi_JETPL84_413,CMD-2,exclusive hadronic channel,e+e- -> pi+pi- from 370 to 520 MeV,hep-ex/0610016,10.1134/S0021364006200021,728191,ins728191,,exists,raw_papers/arxiv_pdf/CMD2_2006_low_energy_pipi_JETPL84_413_hep-ex_0610016.pdf,exists,raw_papers/arxiv_source/CMD2_2006_low_energy_pipi_JETPL84_413_hep-ex_0610016.tar,no_direct_pdf,
CMD2_2007_pipi_PLB648_28,CMD-2,exclusive hadronic channel,pion form factor in rho region,hep-ex/0610021,10.1016/j.physletb.2007.01.073,728302,ins728302,,exists,raw_papers/arxiv_pdf/CMD2_2007_pipi_PLB648_28_hep-ex_0610021.pdf,exists,raw_papers/arxiv_source/CMD2_2007_pipi_PLB648_28_hep-ex_0610021.tar,no_direct_pdf,
CMD2_2005_pipi_1040_1380_JETPL82_743,CMD-2,exclusive hadronic channel,pion form factor from 1.04 to 1.38 GeV,hep-ex/0603021,10.1134/1.2175241,712216,ins712216,,exists,raw_papers/arxiv_pdf/CMD2_2005_pipi_1040_1380_JETPL82_743_hep-ex_0603021.pdf,exists,raw_papers/arxiv_source/CMD2_2005_pipi_1040_1380_JETPL82_743_hep-ex_0603021.tar,no_direct_pdf,
CMD2_2008_KK_PLB669_217,CMD-2,exclusive hadronic channel,e+e- -> phi -> K+K-,0804.0178,10.1016/j.physletb.2008.09.053,782516,ins782516,,exists,raw_papers/arxiv_pdf/CMD2_2008_KK_PLB669_217_0804.0178.pdf,exists,raw_papers/arxiv_source/CMD2_2008_KK_PLB669_217_0804.0178.tar,no_direct_pdf,
CMD2_2006_3pi_PLB642_203,CMD-2,exclusive hadronic channel,phi -> pi+pi-pi0,,10.1016/j.physletb.2006.09.041,734590,ins734590,,no_arxiv,,no_arxiv,,no_direct_pdf,
SND_2006_pipi_JETP103_380,SND,exclusive hadronic channel,updated e+e- -> pi+pi- from 400 to 1000 MeV,hep-ex/0605013,10.1134/S106377610609007X,716141,,,exists,raw_papers/arxiv_pdf/SND_2006_pipi_JETP103_380_hep-ex_0605013.pdf,exists,raw_papers/arxiv_source/SND_2006_pipi_JETP103_380_hep-ex_0605013.tar,no_direct_pdf,
SND_2005_pipi_JETP101_1053_HEPData,SND,exclusive hadronic channel,e+e- -> pi+pi- from 400 to 1000 MeV; HEPData record adjacent to 2006 update,,,686349,ins686349,,no_arxiv,,no_arxiv,,no_direct_pdf,
SND_2007_KK_PRD76_072012,SND,exclusive hadronic channel,e+e- -> K+K- from 1.04 to 1.38 GeV,0707.2279,10.1103/PhysRevD.76.072012,755881,ins755881,,exists,raw_papers/arxiv_pdf/SND_2007_KK_PRD76_072012_0707.2279.pdf,exists,raw_papers/arxiv_source/SND_2007_KK_PRD76_072012_0707.2279.tar,no_direct_pdf,
SND_2006_KSKL_JETP103_720,SND,exclusive hadronic channel,e+e- -> KS KL from 1.04 to 1.38 GeV,hep-ex/0606057,10.1134/S1063776106110070,720035,ins720035,,exists,raw_papers/arxiv_pdf/SND_2006_KSKL_JETP103_720_hep-ex_0606057.pdf,exists,raw_papers/arxiv_source/SND_2006_KSKL_JETP103_720_hep-ex_0606057.tar,no_direct_pdf,
BES_2000_R_PRL84_594,BES,inclusive R(s),R = sigma(e+e- -> hadrons)/sigma(e+e- -> mu+mu-) from 2.6 to 5 GeV,hep-ex/9908046,10.1103/PhysRevLett.84.594,505323,ins505323,,exists,raw_papers/arxiv_pdf/BES_2000_R_PRL84_594_hep-ex_9908046.pdf,exists,raw_papers/arxiv_source/BES_2000_R_PRL84_594_hep-ex_9908046.tar,no_direct_pdf,
BES_2002_R_PRL88_101802,BES,inclusive R(s),R at 85 center-of-mass energies from 2 to 5 GeV,hep-ex/0102003,10.1103/PhysRevLett.88.101802,552757,ins552757,,exists,raw_papers/arxiv_pdf/BES_2002_R_PRL88_101802_hep-ex_0102003.pdf,exists,raw_papers/arxiv_source/BES_2002_R_PRL88_101802_hep-ex_0102003.tar,no_direct_pdf,
BES_2003_final_R_scan_NPBPS117_158,BES,inclusive R(s),final R values from 2 to 5 GeV and QCD test,hep-ex/0210042,10.1016/S0920-5632(03)90514-7,600016,,,exists,raw_papers/arxiv_pdf/BES_2003_final_R_scan_NPBPS117_158_hep-ex_0210042.pdf,exists,raw_papers/arxiv_source/BES_2003_final_R_scan_NPBPS117_158_hep-ex_0210042.tar,no_direct_pdf,
BES_2006_R_PRL97_262001,BES,inclusive R(s),R_uds and R_had from 3.650 to 3.872 GeV,hep-ex/0612054,10.1103/PhysRevLett.97.262001,735496,,,exists,raw_papers/arxiv_pdf/BES_2006_R_PRL97_262001_hep-ex_0612054.pdf,exists,raw_papers/arxiv_source/BES_2006_R_PRL97_262001_hep-ex_0612054.tar,no_direct_pdf,
BES_2009_R_PLB677_239,BES,inclusive R(s),"R at 2.60, 3.07, and 3.65 GeV",0903.0900,10.1016/j.physletb.2009.05.055,814778,ins814778,,exists,raw_papers/arxiv_pdf/BES_2009_R_PLB677_239_0903.0900.pdf,exists,raw_papers/arxiv_source/BES_2009_R_PLB677_239_0903.0900.tar,no_direct_pdf,
CLEO_2007_total_hadronic_PRD76_072008,CLEO,inclusive R(s),total hadronic cross section below 10.56 GeV,0706.2813,10.1103/PhysRevD.76.072008,753556,ins753556,,exists,raw_papers/arxiv_pdf/CLEO_2007_total_hadronic_PRD76_072008_0706.2813.pdf,exists,raw_papers/arxiv_source/CLEO_2007_total_hadronic_PRD76_072008_0706.2813.tar,no_direct_pdf,
MARKI_1975_R_PRL34_764,MARK I,legacy inclusive R(s),total hadron production from 2.4 to 5.0 GeV,,10.1103/PhysRevLett.34.764,100592,ins100592,,no_arxiv,,no_arxiv,,no_direct_pdf,
MD1_1996_R_ZPC70_31,MD-1,legacy inclusive R(s),R in e+e- annihilation from 7.2 to 10.34 GeV,,10.1007/s002880050077,364141,ins364141,,no_arxiv,,no_arxiv,,no_direct_pdf,
LENA_1982_R_ZPC15_299,LENA,legacy inclusive R(s),R in e+e- annihilation from 7.4 to 9.4 GeV,,10.1007/BF01614421,179431,ins179431,,no_arxiv,,no_arxiv,,no_direct_pdf,
